,course_name,course_url,course_photo,course_level,course_effort,course_length,course_language,course_subtitle,course_price,course_partner,university_link,course_enrollments
318,Nanophotonic Modeling…,https://www.edx.org/course/nanophotonic-modeling,https://prod-discovery.edx-cdn.org/media/course/image/6ff44321-4fbf-4cb3-8d27-39a57b791473-c8adf79cc0e1.jpg,['Advanced'],['8–9 hours per week'],['5 Weeks'],['English'],['English'],['$750 USD'],['Purdue University'],['https://www.edx.org/school/purduex'],not-mentioned
319,Mastering QuantumMechanics Part 3:Entanglement and Angu……,https://www.edx.org/course/mastering-quantum-mechanics-part-3-entanglement-an,https://prod-discovery.edx-cdn.org/media/course/image/48bd411c-4e75-4917-839d-b0cb8516295c-9b902d4bc1ef.jpg,['Intermediate'],['12–13 hours per week'],['5 Weeks'],['English'],['English'],['$50 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
320,Atomic and OpticalPhysics I– Part 1:Resonance…,https://www.edx.org/course/atomic-and-optical-physics-i-part-1-resonance,https://prod-discovery.edx-cdn.org/media/course/image/0f69bc37-1cbf-45a5-a211-e2dfb8c1a8fd-5cb09bdaecfc.jpg,['Advanced'],[],['4 Weeks'],['English'],"['English', 'English']",['$50 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
321,Mécanique des Fluides…,https://www.edx.org/course/mecanique-des-fluides,https://prod-discovery.edx-cdn.org/media/course/image/b743477b-b972-47ed-b898-c4a81de5a6a2-090380b3d662.jpg,['Advanced'],['6–8 hours per week'],['8 Weeks'],['Français'],"['English, Français']",['$50 USD'],['École polytechnique fédérale de Lausanne'],['https://www.edx.org/school/epflx'],not-mentioned
322,"Quantum InformationScience I, Part 3…",https://www.edx.org/course/quantum-information-science-i-part-3,https://prod-discovery.edx-cdn.org/media/course/image/d51a63c7-298f-4182-98fc-490ceaeb6c5f-dda3bd4d118a.jpg,['Intermediate'],['11–13 hours per week'],['7 Weeks'],['English'],['English'],['$49 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
323,Solid State Devices 1…,https://www.edx.org/course/solid-state-devices-1,https://prod-discovery.edx-cdn.org/media/course/image/ca2f9f5a-7772-47f3-9c42-adc43de898cd-c946c190b927.png,['Advanced'],['7–10 hours per week'],['16 Weeks'],['English'],['English'],"['$2,250 USD']",['Purdue University'],['https://www.edx.org/school/purduex'],not-mentioned
324,"Quantum InformationScience II: Quantumstates, noise and error c……",https://www.edx.org/course/quantum-information-science-ii-quantum-states-nois,https://prod-discovery.edx-cdn.org/media/course/image/d59af5be-65c7-42a1-bf71-7a8a70885e51-48bec84ac99c.jpg,['Advanced'],['11–13 hours per week'],['4 Weeks'],['English'],['English'],['$49 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
325,Complex Analysis withPhysical Applications…,https://www.edx.org/course/complex-analysis-with-physical-applications,https://prod-discovery.edx-cdn.org/media/course/image/d100c598-d485-4645-8e80-c6ef10c3ff14-0a73cff3ddaa.jpg,['Advanced'],['3–5 hours per week'],['10 Weeks'],['English'],['English'],['$49 USD'],['NUST MISIS'],['https://www.edx.org/school/misisx'],not-mentioned
326,Atomic and OpticalPhysics: Quantum Statesand Dynamics of Photons…,https://www.edx.org/course/atomic-and-optical-physics-quantum-states-and-dyna,https://prod-discovery.edx-cdn.org/media/course/image/8b3d9ba6-82d4-4085-a423-a80c2a1cd1df-38bb30efb505.jpg,['Advanced'],['10–12 hours per week'],['4 Weeks'],['English'],['English'],['$49 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
327,Synchrotrons and X-RayFree Electron Lasers…,https://www.edx.org/course/synchrotrons-and-x-ray-free-electron-lasers,https://prod-discovery.edx-cdn.org/media/course/image/0f0637c8-2d51-4e9a-986b-08df0031a791-af27d3d8699e.jpg,['Advanced'],['2–3 hours per week'],['10 Weeks'],['English'],['English'],['$49 USD'],['École polytechnique fédérale de Lausanne'],['https://www.edx.org/school/epflx'],not-mentioned
